Matricula;TotalCreditos;TotalDebitosObrigatorios;TotalDebitosFacultativos
0541620932;998.00;61.00;264.00
0541723146;1306.50;1306.50;0.00
1091042486;998.00;61.00;32.58
1091045914;3687.50;410.23;1143.17
1091047410;2041.14;227.07;625.65
1091065494;2233.52;248.47;0.00
1091067853;1408.99;156.74;431.86
1091069597;1036.53;96.24;326.37
1091074043;3027.60;281.11;646.04
1091077280;981.00;44.00;263.90
1091079436;3709.61;412.68;0.00
1091082283;2933.42;326.33;704.50
1091085010;994.83;92.99;216.72
1091085223;2641.44;89.62;766.36
1091085487;3962.00;439.14;1215.13
1091085860;2718.27;252.39;661.00
1091086033;3337.02;33.00;1016.24
1091086068;1943.00;102.52;463.23
1091086190;2400.26;267.02;0.00
1091086220;2043.47;227.33;488.96
1091086254;2326.45;50.16;637.04
1091086378;3396.39;315.36;917.57
1091087412;998.00;61.00;263.90
1091087463;1934.21;215.17;442.09
1091087528;2981.76;157.34;318.88
1091087790;2771.68;259.07;643.96
1091087811;2397.99;245.96;533.72
1091087919;1595.99;84.22;516.64
1091087927;2077.85;109.65;668.36
1091087994;1887.08;209.93;306.76
1091088117;3250.27;171.52;1047.46
1091088214;2647.23;89.49;792.04
1091088303;2168.89;86.03;720.60
1091088419;4010.21;127.58;309.35
1091088583;2720.86;92.76;739.00
1091088605;2503.88;267.74;583.82
1091088818;2256.52;251.03;691.11
1091089210;2662.51;248.03;759.35
1091089296;3329.94;311.26;590.73
1091089466;3012.40;335.12;57.99
1091089652;1456.36;162.01;314.99
1091089709;3650.35;121.05;421.34
1091089750;3851.71;360.04;1047.34
1091089970;1648.21;86.37;533.84
1091093927;998.00;61.00;304.28
1091095156;998.00;60.87;320.13
1091095466;2907.22;253.96;56.19
1091096039;3137.49;165.56;707.39
1091096098;2438.60;271.28;19.74
1091096225;3664.75;3664.75;0.00
1091096438;2688.71;141.87;781.00
1091096535;1147.90;127.69;230.65
1549982491;2746.01;251.52;818.99
1549982912;998.00;61.00;304.28
1549984133;1665.40;155.67;0.00
1549984400;1477.56;164.02;325.54
1549985466;1238.35;114.98;336.81
1549985784;1232.51;136.94;380.57
1549985822;4087.18;444.37;1226.30
1549986292;998.00;61.00;0.00
1549987264;1957.98;216.98;0.00
1549987760;2048.41;222.39;580.23
1549988465;998.00;61.00;210.93
1549988708;998.00;61.00;73.28
1549989046;1093.08;102.44;238.17
1549989356;3458.01;3458.01;0.00
1549989364;1346.83;149.82;0.00
1549989470;1352.15;150.42;229.86
1550000966;998.00;60.01;304.99
1550001857;998.00;61.00;175.44
1550001938;981.00;44.00;217.00
1550002217;1382.97;153.84;277.86
1550002292;3058.46;247.99;808.95
1550002306;981.00;44.00;305.63
